homeid,food,water,heating,other,floorarea
47,9,5,0,0,427.0
55,11,2,0,0,
59,10,0,0,0,760.0
61,9,6,1,1,685.0
62,15,5,0,1,815.0
63,11,5,1,1,725.0
64,9,4,0,0,650.0
65,10,4,0,3,1000.0
66,8,3,0,0,825.0
67,10,5,1,0,580.0
68,9,2,1,0,1125.0
69,7,5,1,0,575.0
70,8,5,0,0,760.0
71,9,7,0,0,985.0
72,9,5,1,0,800.0
73,6,5,2,0,695.0
74,8,5,0,0,1150.0
75,10,5,0,0,730.0
76,7,7,0,0,1290.0
77,6,4,0,0,550.0
78,11,8,1,0,880.0
79,8,7,0,0,1265.0
80,11,4,0,0,410.0
81,13,9,0,0,1060.0
82,10,7,0,0,1215.0
83,9,6,0,0,695.0
84,8,4,0,0,640.0
85,13,6,0,0,915.0
86,13,6,1,0,1410.0
88,10,8,2,0,975.0
89,10,7,0,0,835.0
90,10,5,0,1,430.0
91,11,4,0,0,570.0
92,13,9,1,0,1275.0
93,8,7,0,0,735.0
94,11,6,0,0,475.0
96,11,10,1,1,1475.0
97,14,7,1,0,1220.0
98,9,5,0,0,465.0
99,12,8,1,0,1195.0
100,9,4,0,0,725.0
101,10,4,0,0,810.0
102,8,6,0,0,675.0
105,10,6,1,1,760.0
106,12,5,0,0,615.0
107,12,6,0,0,795.0
109,12,7,0,0,775.0
110,8,6,0,0,790.0
113,14,8,0,0,955.0
114,11,5,0,0,450.0
115,10,7,0,0,655.0
116,9,6,0,0,675.0
117,10,5,0,0,420.0
118,11,5,0,0,830.0
119,11,5,0,0,1105.0
120,10,6,0,0,455.0
121,11,5,1,0,935.0
122,12,4,0,0,635.0
123,8,6,0,0,1780.0
124,12,5,0,0,950.0
125,11,6,0,0,535.0
126,10,4,0,0,470.0
128,5,4,0,3,480.0
129,12,4,0,0,1000.0
133,9,4,0,0,805.0
134,12,5,0,0,1500.0
135,11,5,1,0,930.0
136,10,6,0,2,1250.0
137,12,5,0,0,490.0
138,12,6,0,0,1025.0
139,11,6,0,1,820.0
140,11,6,1,2,615.0
141,11,4,0,0,735.0
143,10,5,0,0,590.0
144,15,8,0,0,1385.0
145,9,6,0,1,695.0
146,15,9,0,3,1625.0
147,11,4,0,0,780.0
148,11,6,0,0,575.0
149,12,6,1,0,1265.0
150,14,5,1,0,865.0
151,13,6,0,0,980.0
152,10,6,0,0,850.0
153,11,4,0,0,375.0
154,14,6,0,0,775.0
155,13,6,0,0,1275.0
156,11,9,1,0,985.0
157,12,6,0,0,710.0
158,11,6,1,0,430.0
159,8,7,0,0,755.0
160,12,7,2,0,1220.0
161,10,5,1,0,900.0
162,11,5,0,1,735.0
163,9,7,0,0,810.0
164,12,10,1,0,1590.0
165,9,10,0,0,1255.0
166,9,6,1,0,810.0
167,11,5,1,0,730.0
168,7,8,0,7,1100.0
169,11,6,1,4,1005.0
170,10,7,1,0,1180.0
171,10,6,1,2,730.0
173,13,8,0,0,820.0
174,7,8,2,0,1400.0
175,10,8,1,4,930.0
176,11,4,1,0,795.0
177,17,5,0,0,1175.0
178,11,5,1,0,850.0
179,11,5,1,0,600.0
180,14,10,0,0,1490.0
181,11,6,0,0,865.0
182,11,6,1,0,1070.0
183,10,11,1,0,920.0
184,12,6,0,0,815.0
185,11,6,0,0,1065.0
186,12,5,0,0,585.0
187,12,5,0,0,880.0
188,11,4,0,0,880.0
189,22,9,0,0,425.0
190,10,4,0,0,475.0
191,13,7,0,0,740.0
192,12,7,1,0,1190.0
193,12,6,0,0,575.0
194,9,5,0,0,410.0
195,11,8,1,0,1020.0
197,13,8,0,0,780.0
199,14,6,2,0,1135.0
200,13,10,1,0,1620.0
201,13,6,1,0,1025.0
202,13,10,0,0,1010.0
203,12,5,1,0,685.0
205,10,5,1,0,420.0
206,11,5,0,0,1000.0
207,12,4,0,0,700.0
208,9,6,0,1,780.0
209,11,8,0,0,660.0
210,13,8,0,0,1320.0
211,11,8,1,0,1210.0
212,13,6,1,4,875.0
213,10,6,0,0,540.0
214,11,6,0,0,1680.0
215,11,5,1,0,580.0
216,8,3,0,0,370.0
218,5,6,0,0,750.0
219,10,6,0,0,745.0
221,5,8,0,0,660.0
222,12,8,1,0,1095.0
223,13,9,0,0,990.0
224,11,6,1,0,775.0
225,12,5,1,4,1275.0
226,11,6,0,0,695.0
227,11,5,1,4,680.0
228,12,7,0,0,630.0
229,13,8,1,0,1865.0
230,13,6,0,0,720.0
231,10,6,1,2,885.0
232,11,6,1,0,770.0
233,11,10,0,0,1015.0
234,10,3,0,0,360.0
235,11,5,0,0,865.0
236,11,7,0,0,815.0
237,9,8,0,0,620.0
238,11,8,0,2,775.0
239,11,8,0,0,530.0
240,12,5,1,0,1080.0
241,9,5,0,0,360.0
242,14,7,0,2,1220.0
243,12,6,1,0,775.0
244,9,6,0,0,475.0
245,11,7,1,0,965.0
246,11,6,1,0,1060.0
247,12,7,0,0,1285.0
248,9,4,0,0,745.0
249,10,5,0,0,440.0
250,13,5,1,0,465.0
251,14,7,0,0,860.0
252,14,6,0,0,655.0
253,12,7,0,0,780.0
254,14,11,0,0,1130.0
255,14,11,1,1,1120.0
256,12,9,0,0,960.0
257,10,7,0,0,635.0
258,12,6,0,0,500.0
259,11,8,0,3,1210.0
260,13,5,0,0,835.0
261,12,4,0,0,1235.0
262,12,7,1,1,665.0
263,11,6,0,1,865.0
264,11,9,1,1,1075.0
265,11,6,0,0,725.0
266,17,4,0,1,990.0
267,12,5,1,0,825.0
268,13,6,0,5,895.0
269,17,14,2,0,1100.0
270,12,7,1,0,1385.0
271,13,8,0,0,995.0
272,13,5,1,0,415.0
