homeid,notification_date,provenancedetail,energytype,daily_standing_charge_pence,unit_charge_pence_per_kwh
167,8/25/2016,primary_facetoface_initial,electricity,23.02,
62,8/26/2016,primary_facetoface_initial,electricity,31.31,
62,8/26/2016,primary_facetoface_initial,gas,24.74,
61,10/6/2016,primary_facetoface_initial,electricity,0.33,0.12
61,10/6/2016,primary_facetoface_initial,gas,0.3,0.33
64,10/20/2016,primary_facetoface_initial,electricity,26.02,13.42
64,10/20/2016,in_app,electricity,26,13.41
64,10/20/2016,primary_facetoface_initial,gas,22,3.98
64,10/20/2016,in_app,gas,21,3.98
65,11/9/2016,primary_facetoface_initial,electricity,15.97,
65,11/9/2016,primary_facetoface_initial,gas,3.45,
68,11/24/2016,primary_facetoface_initial,electricity,11.24,
68,11/24/2016,primary_facetoface_initial,gas,6.77,
70,12/7/2016,primary_facetoface_initial,electricity,16.42,12.98
70,12/7/2016,in_app,electricity,16,12.97
70,12/7/2016,primary_facetoface_initial,gas,21.9,3.76
70,12/7/2016,in_app,gas,21,3.75
69,1/4/2017,primary_facetoface_initial,electricity,,12.01
69,1/4/2017,in_app,electricity,0,12.01
69,1/4/2017,primary_facetoface_initial,gas,3.02,
72,1/4/2017,primary_facetoface_initial,electricity,,17.1
72,1/4/2017,in_app,electricity,0,17.1
72,1/4/2017,primary_facetoface_initial,gas,,5.2
72,1/4/2017,in_app,gas,0,5.19
74,1/5/2017,primary_facetoface_initial,electricity,12.75,
74,1/5/2017,primary_facetoface_initial,gas,8,
75,1/10/2017,primary_facetoface_initial,electricity,27.31,13.05
75,1/10/2017,in_app,electricity,27,13.05
75,1/10/2017,primary_facetoface_initial,gas,27.31,3.69
75,1/10/2017,in_app,gas,27,3.68
71,1/11/2017,primary_facetoface_initial,electricity,23.02,9.34
71,1/11/2017,in_app,electricity,23,9.34
71,1/11/2017,primary_facetoface_initial,gas,23.02,2.26
71,1/11/2017,in_app,gas,23,2.25
77,1/17/2017,primary_facetoface_initial,electricity,,16.5
77,1/17/2017,in_app,electricity,0,16.49
77,1/17/2017,primary_facetoface_initial,gas,14.38,3.87
77,1/17/2017,in_app,gas,14,3.86
